region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_D1641_median,sal_D1641_l95,sal_D1641_u95,sal_NAA_median,sal_NAA_l95,sal_NAA_u95
Confluence,2000,10,daphnia,1,1,1,0.4194275884454052,0,Inf,0.3939251100823943,0,Inf
Confluence,2000,10,eurytem,1,1,1,0.8567810931736987,0.22748698242801246,2.283431964394535,0.8917620572169895,0.24403900938855164,2.4767049090030406
Confluence,2000,10,limno,1,1,1,0.7374012203082307,0.3779514020491916,1.4121014146261008,0.7190604586732805,0.3599576746707449,1.4008133714367648
Confluence,2000,10,mysid,1,1,1,2.462787294248127,1.2760688138626306,4.828125093217128,2.5526675748636425,1.3102979588076198,5.0824811723546075
Confluence,2000,10,othcalad,1,1,1,0.009258362747101526,0,0.050018343853445425,3.221403921460365e-4,0,0.03747044774649953
Confluence,2000,10,othcaljuv,1,1,1,0.6177522422194327,0.4909294993291369,0.7711551023096314,0.6201917046358539,0.4901526932835186,0.7787026558846241
Confluence,2000,10,othclad,1,1,1,2.8012706921159625,1.827035884160818,4.9869120365915505,3.020426061570075,1.9569156032430124,5.452929379867304
Confluence,2000,10,othcyc,1,1,1,0.5333786711517684,0.29940012414078254,0.9514348073999858,0.511698773084614,0.2816840751530837,0.9367315232831585
Confluence,2000,10,other,1,1,1,1.276756884783293,0.6697184236627977,2.62836832802484,1.2827321632493345,0.6600582487297357,2.712809093988344
Confluence,2000,10,pdiapfor,1,1,1,1.308288623797804,0.9131418523417448,1.831502865077726,1.3100142941194777,0.895991232639994,1.8588161486107524
Confluence,2000,11,acartela,1,1,1,0.8629159583984597,0.6993057591612329,1.0750646556778223,0.8468171559980583,0.670178777878861,1.0798754726375912
Confluence,2000,11,allcopnaup,1,1,1,0.7436264796430768,0,4.522066982827212,0.7186711009055001,0,5.714416115235997
Confluence,2000,11,daphnia,1,1,1,1.3124956362250138,0.42164452750506487,Inf,1.3390699610072256,0.36040680723544083,Inf
Confluence,2000,11,eurytem,1,1,1,0.7379484867251564,0.5165802531201836,1.0363607356038624,0.7127635870045712,0.47758697529444344,1.0348786587557737
Confluence,2000,11,limno,1,1,1,0.9366933092917482,0.696514344485036,1.2572419541941917,0.9318944808204959,0.6701787309622566,1.295552602939099
Confluence,2000,11,mysid,1,1,1,1.3038798407856704,0.9164800603664216,1.8542411517044692,1.3522668279406975,0.9150216484612321,1.991379074890444
Confluence,2000,11,othcalad,1,1,1,0.21630344539181817,0.1612254578642618,0.2864398348580008,0.1883783897611832,0.13437105484365763,0.2596698419427879
Confluence,2000,11,othcaljuv,1,1,1,0.7340629605225897,0.6394922003559127,0.8357289075247937,0.7160494468136376,0.615295085965253,0.8284104658901218
Confluence,2000,11,othclad,1,1,1,1.8203508037198615,1.2905986433792598,2.9962994551451048,1.9098360407963422,1.3194947284741332,3.2356676010749887
Confluence,2000,11,othcyc,1,1,1,0.7629490257198304,0.5760949433741925,0.9969650841030698,0.7457749503445193,0.5494384787461669,1.0004063556154985
