"Cohort_Year","scenario","ACM_BPUV_Feb1Feb1","ACM_BPUV_Mar1Mar1","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
2001,"NAA",662.483856029273,756.773086389094,533910.34087449,-2201.5230376373,-3382.51625141769,-4903.22580645161,-4143.92857142857,-3500
2002,"Alt1",1021.79615089536,816.589633131933,578551.426083191,-2879.60262863788,-6222.38416064799,-9481.87261277573,-7748.80992450475,-6393.47515943684
2002,"Alt2v1wTUCP",958.649559014866,731.684363843568,568354.257499124,-2688.86437038789,-4475,-4827.01612903226,-3741.07142857143,-3500
2002,"Alt2v1woTUCP",958.649559014866,731.684363843568,568358.11445903,-2688.89524133417,-4475,-4827.01612903226,-3741.07142857143,-3500
2002,"Alt2v2noTUCP",958.649559014866,728.796951356025,573532.007963389,-2054.9102055279,-4475,-4827.01612903226,-3741.07142857143,-1429.23742340139
2002,"Alt2v3noTUCP",958.649559014866,728.534762017005,556002.154964922,-1905.81528262313,-4475,-4827.01612903226,-3741.07142857143,-1356.6989888409
2002,"Alt3",951.362299004361,697.928175072357,626187.5,-372.288910849185,-2009.32613247252,-2155.97549259548,-2088.53241319883,69.7940256112006
2002,"Alt4",957.969624577116,733.291287285782,568350.502611117,-2689.64187567163,-4475,-4323.54838709677,-4517.85714285714,-3500
2002,"EXP1",1461.30504483642,1749.27530812336,31036.8149802234,500.179695834642,-653.335724167025,1515.74481003802,1184.48702250593,1145.88696678169
2002,"EXP3",1461.30504483642,1749.27530812336,455466.810848411,413.067375615487,-554.281269147959,1269.94718503201,947.784665926329,926.034052494823
2002,"NAA",958.649559014866,733.291287285782,541675.573158123,-2321.84219133344,-5000,-4903.22580645161,-4020.71428571429,-3500
2003,"Alt1",1099.20963920472,1180.1289294127,658728.794293632,-3894.53774974537,-6351.00581487647,-9680.98987244503,-9141.85344221989,-9580.41946504974
2003,"Alt2v1wTUCP",1099.20963920472,1182.14160045426,741584.051743719,-2888.58689803054,-4490,-4816.85483870968,-4187.93103448276,-3575
2003,"Alt2v1woTUCP",1099.20963920472,1182.14160045426,741573.560486844,-2888.4334907451,-4490,-4816.85483870968,-4187.93103448276,-3575
2003,"Alt2v2noTUCP",1099.20963920472,1182.14160045426,734643.082134637,-1879.66930186527,-4490,-4816.85483870968,-4187.93103448276,-2982.36021501458
2003,"Alt2v3noTUCP",1099.20963920472,1182.14160045426,729755.103854543,-1806.90831865552,-4490,-4816.85483870968,-4187.93103448276,-2894.64111970692
2003,"Alt3",1099.20963920472,1183.24787839182,704875.014,-95.7845005832262,-858.418668417895,-3543.5793557026,-5000,-1468.18625142843
2003,"Alt4",1099.20963920472,1182.14160045426,741682.372580432,-2900.68279165386,-4490,-4323.54838709677,-4658.62068965517,-4025
2003,"EXP1",1295.92416030304,2065.535,307369.660374278,1038.66651856889,-450.427414646484,1005.62362053224,2126.07138642153,1481.78152727998
2003,"EXP3",1295.92416030304,2065.535,746498.56901557,581.458414674895,-522.795875408217,1050.66193899101,2146.2786926265,1154.83695457117
2003,"NAA",1099.20963920472,1182.14160045426,774115.607028361,-2179.72583910739,-5000,-4903.22580645161,-4160,-3500
2004,"Alt1",456.551461282193,472.457171595554,717389.25556749,-2925.60200167323,-7838.71585751468,-9253.01225255575,-7440.25747632353,-6714.21260264036
2004,"Alt2v1wTUCP",456.189769073998,468.710055262214,802014.026281141,-2649.33179988272,-4490,-4816.85483870968,-4030.35714285714,-3500
2004,"Alt2v1woTUCP",456.189769073998,468.710055262214,802001.653029908,-2649.33945850366,-4490,-4816.85483870968,-4030.35714285714,-3500
2004,"Alt2v2noTUCP",456.189769073998,461.650556737669,794019.832363439,-1526.0759884768,-4490,-4816.85483870968,-4030.35714285714,-1173.88884393223
2004,"Alt2v3noTUCP",456.189769073998,462.328720848075,792628.681078146,-1264.18632837039,-4490,-4816.85483870968,-4030.35714285714,-1173.88884393223
2004,"Alt3",458.403869168883,462.149574839004,747339.979904379,-362.674933074918,-1660.09238616152,-803.491442373259,-3074.01206728423,-5000
2004,"Alt4",456.189769073998,468.710055262214,801634.466746984,-2663.72368623825,-4490,-4323.54838709677,-4667.85714285714,-3500
2004,"EXP1",711.326041202741,905.421992694287,94261.5102641992,397.442905567995,-642.027001204738,2089.82305873999,3704.26346884497,6321.09795950453
2004,"EXP3",711.326041202741,906.832383921121,530609.490005985,427.223925164583,-510.806009992887,1726.53613104924,4120.62754960204,5791.00544999434
2004,"NAA",456.189769073998,468.710055262214,838149.449929849,-2455.14663619968,-4689.4333333128,-4903.22580645161,-4143.92857142857,-3500
2005,"Alt1",1199.92106669895,1379.65190268567,921673.718770756,-4473.09411845949,-6560.08183344079,-7606.73403495301,-4751.34029191939,-724.214184754131
2005,"Alt2v1wTUCP",1199.92106669895,1379.65190268567,908185.374557873,-3823.10606372836,-4850,-5145.16129032258,-4464.28571428571,-3039.36470169982
2005,"Alt2v1woTUCP",1199.92106669895,1379.65190268567,908185.134048868,-3823.12687506048,-4850,-5145.16129032258,-4464.28571428571,-3067.52552142756
2005,"Alt2v2noTUCP",1199.92106669895,1379.65190268567,908226.457771273,-3573.723158666,-4850,-5145.16129032258,-4464.28571428571,-1789.89181356641
2005,"Alt2v3noTUCP",1199.92106669895,1379.65190268567,915754.730023986,-3487.69433358181,-4850,-5145.16129032258,-4464.28571428571,-1419.65211886977
2005,"Alt3",1201.37191883287,1379.65190268567,977562.5,-78.2647319771286,-654.314393663384,-1419.26991754424,2259.89556454285,4614.77681853233
2005,"Alt4",1199.92106669895,1379.65190268567,908192.33527666,-3822.51840145174,-4475,-4323.54838709677,-5000,-3934.11051849016
2005,"EXP1",1583.325625,1713.63180387636,1167497.49607223,8981.41799069204,6041.2395265635,4873.63609177901,4638.40697846121,7789.05188684732
2005,"EXP3",1583.325625,1713.7005189312,1289142.09959437,5763.85831086135,4504.01720121329,4700.77393010291,6006.3849899137,7953.24880377385
2005,"NAA",1199.92106669895,1379.65190268567,908285.79212099,-2169.48498343238,-5000,-4903.22580645161,-4464.28571428572,-1965.17007702344
2006,"Alt1",597.706505691785,356.774255283065,711949.5,2979.44102281666,-4260.59439555721,-7925.08472598558,-9358.94020158324,-4486.4559227664
2006,"Alt2v1wTUCP",598.530505163144,343.470355118571,758761.9986,2894.28861315716,-4217.54738864306,-5145.16129032258,-4030.35714285714,-3500
2006,"Alt2v1woTUCP",598.530505163144,343.470355118571,758761.9986,2894.18771471097,-4217.56407594592,-5145.16129032258,-4030.35714285714,-3500
2006,"Alt2v2noTUCP",598.530505163144,329.395854283005,758761.9986,3105.74744590547,-4218.65230269859,-5145.16129032258,-4030.35714285714,-1394.71166988478
2006,"Alt2v3noTUCP",598.530505163144,326.56747537083,758761.9986,3107.5878960344,-4217.70677230645,-5145.16129032258,-4005.04535801191,-1230.8156262973
2006,"Alt3",644.13605044051,312.750206280519,805303.566826037,10335.3687915558,-2455.17615004939,-1793.63349472448,-2031.7083604774,-642.265147172177
2006,"Alt4",597.706505691785,343.445917076391,758761.9986,2900.31580368627,-4214.44769395563,-4783.22580645161,-4667.85714285714,-3500
2006,"EXP1",533.055597077675,341.234520827561,983762.301606336,17345.064317502,5196.38907155402,651.35636402826,1751.75501728222,1119.88364712305
2006,"EXP3",533.055597077675,341.234520827561,1117635.20589818,14052.9776372995,4619.62814978635,733.891818584165,1847.9980056897,961.200019880972
2006,"NAA",597.821555375151,343.445917076391,768845.331934,2884.33289375443,-4217.07220270142,-5145.16129032258,-4143.92857142857,-3500
