"Cohort_Year","scenario","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
2010,"Alt2v2noTUCP",638816.924278426,-2997.52192770821,-4475,-4903.22580645161,-4223.21428571429,3463.79706445081
2010,"Alt2v3noTUCP",605918.617510359,-2915.73048401058,-4475,-4903.22580645161,-4223.21428571429,3835.43911060247
2010,"Alt3",637985.538786947,82.8517067561569,-4194.26610045191,-909.618689708261,3207.5830631872,7676.48279296313
2010,"Alt4",648536.068869956,-3494.06682368224,-4475,-5019.94670378162,-4517.85714285714,2553.06460233514
2010,"EXP1",897903.835705098,2046.1776241416,2817.47470428054,6887.79981415732,5665.69842560983,12919.3595960221
2010,"EXP3",952036.528936572,1533.41518247575,1091.72001840327,6273.07762898598,7172.04215450493,12759.7262341386
2010,"NAA",634801.479025753,-1744.22423033915,-5000,-4903.22580645161,-2290.75058598573,2573.56845835868
2011,"Alt1",1353974.07281555,-4290.85677777541,-5926.23140317397,-6256.60728212909,-3650.03423007133,-6247.3884929652
2011,"Alt2v1wTUCP",1385436.76048473,-4319.6346674057,-5000,-5083.71296458858,-3196.03933361331,-3905
2011,"Alt2v1woTUCP",1385390.96044257,-4319.53019442554,-5000,-5083.3894147338,-3195.50047770024,-3905
2011,"Alt2v2noTUCP",1383961.662126,-4253.74763643133,-5000,-5571.72945432211,-3175.49256410004,-3860.55201612609
2011,"Alt2v3noTUCP",1387598.3543297,-4253.39254055245,-5000,-5572.13116318811,-3148.23350520191,-3695.29241775692
2011,"Alt3",1141492.03740165,4144.06152103338,-5000,-2497.52605621137,-1369.79762479062,-717.247561091219
2011,"Alt4",1402708.06734995,-4213.81344676142,-4505,-4875.14907537193,-2969.90733687998,-3950
2011,"EXP1",2140339.57326868,9066.71457869535,9127.16213361457,570.611280629196,804.207040860394,1392.19977558338
2011,"EXP3",2104733.07473296,7626.98385981888,5593.67146363645,691.821078545299,880.455357095355,1367.33991999963
2011,"NAA",1398815.52839466,-2725.97903870218,-5000,-5940.01981848848,-3652.84728401261,-4070
